post_id,post_title,original_poster,post
1,walking is hard, utsav, i find it very difficult to walk long distances and i am unable to afford a car or a bike and my location does not support for any vehicle i usually travel four to five kilometers but doing this daily is very hard
2,feeling overwhelmed, sneha, i have too many responsibilities at work and at home and it is overwhelming to manage everything i often feel stressed and anxious about my deadlines
3,loneliness issues, rahul, i moved to a new city for work and do not have friends here i feel very lonely and miss my family and old friends and it is hard to meet new people
4,financial struggles, amrita, my job does not pay enough to cover my basic expenses and i am constantly worried about bills and rent it feels like i am never going to get ahead financially
5,relationship problems, kabir, my partner and i are having constant arguments and it feels like we are drifting apart we need to find a way to communicate better and reconnect
6,career uncertainty, priyanka, i am not sure if i am on the right career path and i feel stuck in my current job i want to explore new opportunities but do not know where to start
7,health issues, samir, i have been experiencing frequent headaches and fatigue and i do not have health insurance to see a doctor it is concerning and affects my daily life
8,time management, fatima, i struggle to manage my time effectively and often feel like there are not enough hours in the day to complete my tasks i need to find a better routine
9,study difficulties, ankit, i am having trouble understanding my course material and it is affecting my grades i am worried that i will not pass my exams if things do not improve
10,technology dependence, nisha, i find myself relying too much on my phone and social media and it distracts me from real life i want to reduce my screen time but it is difficult
11,environmental concerns, rishi, i am worried about climate change and its impact on our planet i feel like there is so much more that needs to be done to protect the environment
12,social anxiety, rhea, i struggle with social situations and often feel anxious when meeting new people it prevents me from enjoying social gatherings and making new friends
13,loss of motivation, arjun, i have lost interest in activities that i used to enjoy and it makes me feel sad and unproductive i want to find ways to regain my motivation
14,public speaking fear, neha, i am terrified of speaking in front of groups and it hinders my professional growth i want to improve my public speaking skills but feel too nervous
15,family conflict, mohit, there are constant disagreements between my family members and it creates a tense atmosphere at home i want to find a way to resolve these conflicts peacefully
16,transportation issues, priya, public transport in my area is unreliable and it makes commuting difficult i often arrive late to work due to delays and it is frustrating
17,stress from studies, vikas, my academic workload is becoming too heavy and it is causing me stress i need to find a better balance between studying and relaxing
18,body image concerns, anjali, i struggle with my body image and it affects my self-esteem i want to feel more confident in my appearance but find it hard to accept myself
19,job insecurity, sahil, my company is going through layoffs and it creates a sense of uncertainty about my future employment i am constantly worried about losing my job
20,healthier lifestyle, karishma, i want to adopt a healthier lifestyle but find it difficult to maintain a balanced diet and regular exercise i need support and motivation
21,learning difficulties, simran, i have trouble with certain subjects at school and it makes learning challenging i want to improve my understanding and keep up with my classmates
22,emotional eating, dhruv, i tend to eat when i am feeling stressed or emotional and it leads to unhealthy habits i want to break this cycle but find it hard to control my cravings
23,relationship with parents, ritu, my relationship with my parents is strained and we do not communicate effectively i want to improve our relationship but do not know how to start
24,feeling unappreciated, sonia, at work i feel unappreciated for my efforts and it demotivates me i want to feel valued and recognized for the hard work that i put in
25,adapting to change, deepak, i struggle with change and often feel anxious when faced with new situations i want to learn how to adapt better and feel more comfortable
26,not fitting in, shivani, i often feel like i do not fit in with my peers and it makes social interactions uncomfortable i wish to find my place and connect with others
27,too much screen time, abhishek, i spend too much time in front of screens and it affects my sleep and overall well-being i want to find a healthier balance
28,work-life balance, reema, balancing work and personal life is challenging and often leads to burnout i need to prioritize my mental health and find a better balance
29,community isolation, om, i live in a small community and feel isolated from the outside world i want to engage more with others but do not know how to start
30,career change, veer, i am considering a career change but fear the uncertainty that comes with it i need guidance and support to navigate this transition
31,identity crisis, zara, i am struggling with my identity and often feel lost about who i am and what i want in life it creates confusion and a lack of direction
32,dependency on others, simar, i have become overly dependent on others for emotional support and it worries me i want to build my own resilience and independence
33,avoiding confrontation, nikhil, i tend to avoid confrontation in my relationships and it leads to unresolved issues i want to learn how to communicate my feelings effectively
34,financial literacy, preeti, i lack knowledge about managing finances and it causes stress regarding budgeting and saving i want to educate myself and improve my financial situation
35,fear of failure, ashwini, i am afraid of failing in my endeavors and it prevents me from taking risks i want to overcome this fear and embrace new opportunities
36,relationship boundaries, parth, my friends often cross personal boundaries and it makes me uncomfortable i want to communicate my limits and foster healthier relationships
37,needing validation, nidhi, i constantly seek validation from others and it affects my self-esteem i want to learn to validate myself and be more self-assured
38,personal development, rahul, i want to focus on personal development but struggle to find the motivation to make changes i need guidance and a plan to follow
39,support for mental health, avni, i feel like there is a lack of support for mental health issues in my community and it makes seeking help difficult i want to find resources available
40,work pressure, shiv, the pressure to perform at work is overwhelming and it affects my mental health i need to learn how to manage stress and maintain my well-being
41,understanding emotions, meera, i have difficulty understanding and expressing my emotions and it complicates my relationships i want to work on emotional intelligence
42,finding purpose, tarun, i feel lost in life and struggle to find my purpose and direction it leads to feelings of emptiness and frustration
43,feeling burnt out, inaya, i am experiencing burnout from work and it affects my productivity and motivation i need strategies to cope with this feeling
44,overthinking problems, raj, i tend to overthink situations and it leads to unnecessary stress and anxiety i want to learn how to simplify my thought process
45,disconnect from nature, krishna, living in a city makes me feel disconnected from nature and it impacts my well-being i want to find ways to reconnect with the outdoors
46,public perception, mala, i worry too much about how others perceive me and it prevents me from being myself i want to build confidence and not let others' opinions affect me
47,developing hobbies, neelam, i want to develop new hobbies but struggle to find the time and energy to pursue them i need to prioritize my interests and passions
